age,workclass,education,'marital status',race,sex,'Native Region',result
37,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
45,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
40,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
25,' ?',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
42,' Government',' College',' Seperated or Widowed',' White',' Male',' ?',' <=50K'
52,' Government',' Higher Education',' Married',' Black',' Male',' US and Canada',' >50K'
24,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
63,' ?',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
33,' Private',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
51,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
31,' ?',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
53,' Private',' College',' Married',' White',' Male',' Latin / South America',' <=50K'
41,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
35,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
43,' No Income',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
39,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
34,' Private',' Higher Education',' Married',' Asian-Pac-Islander',' Male',' Asia',' >50K'
26,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
52,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
27,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
37,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
41,' Government',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
59,' Government',' College',' Married',' White',' Male',' US and Canada',' >50K'
68,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
48,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
39,' Private',' College',' Married',' White',' Female',' US and Canada',' >50K'
35,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
62,' Government',' Higher Education',' Married',' White',' Female',' US and Canada',' >50K'
49,' No Income',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
64,' Private',' College',' Married',' White',' Female',' ?',' >50K'
55,' Private',' pre-HS',' Married',' Black',' Male',' US and Canada',' >50K'
59,' Private',' College',' Never-married',' White',' Male',' Latin / South America',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
29,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
34,' Government',' College',' Married',' White',' Male',' US and Canada',' <=50K'
49,' Government',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
31,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
35,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
28,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
57,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' >50K'
41,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
39,' Private',' Higher Education',' Married',' White',' Female',' US and Canada',' >50K'
51,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
71,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
