Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
tenPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.01902090845E7,2604.0,652.0,512.0,140.0,0.0,78.52760736196319,21.47239263803681,0.0,0.4153814623149051,0.24851309951903072,0.35761228190790806,68.9732682915236,84.19452623442373,514.2071242681935,359.6654131269918,154.54171114120174,0.7886612335401741,0.5516340692131776,0.23702716432699655,127.31152932019212,0.19526308177943577,24.75880307986371,0.8514056224899599,424.0,0.42857142857142855,66.0,0.5714285714285714,88.0,0.14859437751004015,74.0,0.8653061224489796,0.8514056224899599,0.8582995951417005,0.4156134419586137,0.8500299900902311,0.9488226064901362,0.7852760736196319,0.36244187970110064,0.6375581202988994,0.2147239263803681,0.7892281747963898,0.7852760736196319,0.7871247703670261,0.4156134419586137,0.8500299900902312,0.8630723807500651,0.707630810229078,0.7852760736196319,0.11,0.001,0.109375,0.0,109.375,0.0,103099.0,244734.0,63198.0,99.38650306748467,81.21165644171779,?
tenPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.01902090845E7,2605.0,651.0,534.0,117.0,0.0,82.02764976958525,17.972350230414747,0.0,0.4967592317297972,0.25047921810847557,0.3599844096851718,69.60895075778926,84.8992778959984,512.1197819941598,377.32113924546684,134.79864274869294,0.7866663317882638,0.5796023644323607,0.20706396735590313,125.4777467565107,0.19274615477190582,24.501640274060268,0.8855421686746988,441.0,0.39215686274509803,60.0,0.6078431372549019,93.0,0.1144578313253012,57.0,0.8802395209580839,0.8855421686746988,0.8828828828828829,0.496800592880062,0.8502638002992362,0.945865157377131,0.8202764976958525,0.32689119176625175,0.6731088082337482,0.17972350230414746,0.819077237230608,0.8202764976958525,0.819656632495981,0.496800592880062,0.8502638002992361,0.8633737529588298,0.7483721345107484,0.8202764976958525,0.091,0.001,0.09375,0.0,93.75,0.0,116255.0,244827.0,63105.0,98.77112135176651,80.79877112135176,?
tenPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.01902090845E7,2605.0,651.0,507.0,144.0,0.0,77.88018433179724,22.119815668202765,0.0,0.3646972715813441,0.24414330073070875,0.36852238076418,67.84817968829722,86.91288615180774,512.1197819941598,406.85528643628095,105.26449555787883,0.7866663317882638,0.6249697180280813,0.16169661376018254,135.33219393318737,0.20788355442885925,26.42588681230258,0.8694779116465864,433.0,0.5163398692810458,79.0,0.48366013071895425,74.0,0.13052208835341367,65.0,0.845703125,0.8694779116465864,0.8574257425742573,0.3653949251885584,0.8266727038874452,0.9369572670762316,0.7788018433179723,0.4256638009524318,0.5743361990475683,0.22119815668202766,0.7720635847312933,0.7788018433179723,0.775032204312534,0.3653949251885584,0.8266727038874452,0.8447868347612003,0.6821375288213752,0.7788018433179723,0.09,0.001,0.09375,0.0,93.75,0.0,107881.0,244827.0,63105.0,97.84946236559139,78.41781874039938,?
tenPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.01902090845E7,2605.0,651.0,529.0,122.0,0.0,81.25960061443932,18.740399385560675,0.0,0.45409930715935326,0.2415418285126182,0.3602203001355472,67.1252224988972,84.95491066330892,512.1197819941598,387.8798864948593,124.23989549930047,0.7866663317882638,0.5958216382409514,0.19084469354731257,139.26114299411267,0.2139188064425694,27.193080191481613,0.8975903614457831,447.0,0.46405228758169936,71.0,0.5359477124183006,82.0,0.10240963855421686,51.0,0.862934362934363,0.8975903614457831,0.8799212598425197,0.4559286989399003,0.8456112029818621,0.9422386732748812,0.8125960061443932,0.37905793228030943,0.6209420677196905,0.18740399385560677,0.8050263284316158,0.8125960061443932,0.8078879464452237,0.4559286989399003,0.8456112029818621,0.8558114993363821,0.7266739166345466,0.8125960061443932,0.087,0.002,0.078125,0.0,78.125,0.0,116305.0,244827.0,63105.0,98.15668202764977,78.80184331797236,?
tenPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.01902090845E7,2605.0,651.0,532.0,119.0,0.0,81.72043010752688,18.27956989247312,0.0,0.4687827857892248,0.24050371324310507,0.3618027977120399,66.8367270491663,85.32812933028923,512.1197819941598,388.87737437592824,123.24240761823154,0.7866663317882638,0.5973538776895979,0.18931245409866596,140.58419047016326,0.2159511374349666,27.4514274615087,0.8995983935742972,448.0,0.45098039215686275,69.0,0.5490196078431373,84.0,0.10040160642570281,50.0,0.8665377176015474,0.8995983935742972,0.8827586206896552,0.47047809978248184,0.847297687481954,0.9453653410625276,0.8172043010752689,0.36858629965783435,0.6314137003421657,0.1827956989247312,0.8102092644036324,0.8172043010752689,0.8128644680694384,0.4704780997824818,0.8472976874819539,0.860912094252775,0.7340622371740959,0.8172043010752689,0.088,0.001,0.078125,0.0,78.125,0.0,110405.0,244827.0,63105.0,98.15668202764977,77.80337941628264,?
twentyPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.0190209084599998E7,5209.0,1303.0,1065.0,238.0,0.0,81.7344589409056,18.265541059094396,0.0,0.4539015834554267,0.23742400210823722,0.35540410736721234,67.3131642211443,84.62051583847858,1010.7938559191927,741.7143522415959,269.0795036775968,0.7757435578811916,0.5692358804617006,0.20650767741949103,262.6739215231338,0.2015916512073168,25.986893369495622,0.9034825870646767,908.0,0.47315436241610737,141.0,0.5268456375838926,157.0,0.09651741293532339,97.0,0.86558627264061,0.9034825870646767,0.8841285296981499,0.45623268178299176,0.8474924037530468,0.9424573242599562,0.8173445894090561,0.3870163647604868,0.6129836352395132,0.18265541059094398,0.8089877623925663,0.8173445894090561,0.8120212318497805,0.4562326817829918,0.8474924037530467,0.8650213254451784,0.7264845547041474,0.8173445894090561,0.178,0.003,0.125,0.0,125.0,0.0,162439.0,487033.0,123775.0,98.54182655410591,78.05065234075211,?
twentyPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.0190209084599998E7,5209.0,1303.0,1062.0,241.0,0.0,81.504221028396,18.49577897160399,0.0,0.43649453493567714,0.23502110118593195,0.35044882874012756,66.63190679580389,83.44068075819895,1010.7938559191927,723.0426125605626,287.75124335863006,0.7757435578811916,0.5549060725714218,0.22083748530976982,281.24213945022876,0.21584201032250863,27.82388691851254,0.909452736318408,914.0,0.5033557046979866,150.0,0.4966442953020134,148.0,0.09054726368159204,91.0,0.8590225563909775,0.909452736318408,0.8835186080231997,0.4407082834402101,0.8529283114628201,0.9470791509844447,0.8150422102839601,0.40894517866353874,0.5910548213364613,0.18495778971603993,0.8041851373956168,0.8150422102839601,0.8075187326924981,0.4407082834402101,0.8529283114628201,0.865791655034929,0.7173645181643,0.8150422102839601,0.19,0.002,0.15625,0.0,156.25,0.0,170787.0,487033.0,123775.0,98.54182655410591,78.35763622409823,?
twentyPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.0190209084599998E7,5210.0,1302.0,1035.0,267.0,0.0,79.49308755760369,20.506912442396313,0.0,0.4042445991383301,0.24656080298548133,0.3622409843859755,69.951399578524,86.32704621923918,1008.6652863018379,751.9888213239926,256.6764649778453,0.7747045209691535,0.5775643788970758,0.19714014207207778,228.36717991190176,0.17539721959439458,22.640531305403133,0.8766169154228856,881.0,0.48148148148148145,143.0,0.5185185185185185,154.0,0.12338308457711443,124.0,0.8603515625,0.8766169154228856,0.8684080827994086,0.40460836403484624,0.8372380521634253,0.943306110931041,0.7949308755760369,0.3997954416346327,0.6002045583653672,0.20506912442396313,0.7904596775488595,0.7949308755760369,0.7925029330764819,0.4046083640348463,0.8372380521634252,0.8554610593887367,0.702030128356226,0.7949308755760369,0.19,0.003,0.1875,0.0,187.5,0.0,173119.0,487126.0,123682.0,98.9247311827957,79.53149001536099,?
twentyPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.0190209084599998E7,5210.0,1302.0,1045.0,257.0,0.0,80.26113671274962,19.738863287250386,0.0,0.4078781122259383,0.2444192297383083,0.3565549433245016,69.34381701014429,84.97198384177133,1008.6652863018379,744.1502235265143,264.5150627753236,0.7747045209691535,0.5715439504811938,0.20316057048795974,238.74777294592542,0.1833700253040902,23.669672803083003,0.8945273631840795,899.0,0.5084175084175084,151.0,0.49158249158249157,146.0,0.1054726368159204,106.0,0.8561904761904762,0.8945273631840795,0.8749391727493916,0.4100881518628998,0.8382833308206442,0.9387145392983871,0.8026113671274961,0.41650151236092503,0.583498487639075,0.19738863287250383,0.7930436690805355,0.8026113671274961,0.7966828584699636,0.4100881518628998,0.8382833308206443,0.8563205658077037,0.7034076555914536,0.8026113671274961,0.188,0.003,0.1875,0.0,187.5,0.0,186713.0,487126.0,123682.0,98.9247311827957,79.95391705069125,?
twentyPercent-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -num-decimal-places 3 -- -C 0.25 -M 2',-1178107808933117974,2.0190209084599998E7,5210.0,1302.0,1052.0,250.0,0.0,80.79877112135176,19.201228878648234,0.0,0.4290915979121064,0.2427838034815782,0.3517386110960097,68.81877932772959,83.72513837221379,1010.4196526286604,731.8738786623642,278.5457739662962,0.776051960544286,0.5621151141800033,0.2139368463642828,254.14658226680046,0.19519706779324153,25.15257711047332,0.8954183266932271,899.0,0.4865771812080537,145.0,0.5134228187919463,153.0,0.10458167330677291,105.0,0.8611111111111112,0.8954183266932271,0.8779296875000001,0.4308930433156556,0.8469979143827375,0.9412277663586671,0.8079877112135176,0.3991465657283442,0.6008534342716557,0.19201228878648233,0.7997515251828832,0.8079877112135176,0.8029559143583752,0.43089304331565564,0.8469979143827375,0.8602247825571874,0.714144699865108,0.8079877112135176,0.178,0.003,0.1875,0.0,187.5,0.0,180399.0,487126.0,123682.0,98.54070660522274,80.29953917050692,?
