@relation testSet-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6

@attribute ﻿age {'\'(-inf-23.5]\'','\'(23.5-28.5]\'','\'(28.5-35.5]\'','\'(35.5-60.5]\'','\'(60.5-inf)\''}
@attribute workclass {' Private',' Government',' No Income',' ?'}
@attribute education {' pre-HS',' College',' Higher Education'}
@attribute 'marital status' {' Never-married',' Married',' Seperated or Widowed'}
@attribute race {' Black',' White',' Amer-Asian-Eskimo',' Asian-Pac-Islander',' Other'}
@attribute sex {' Female',' Male'}
@attribute 'Native Region' {' US and Canada',' Asia',' ?',' Latin / South America',' Europe'}
@attribute result {' <=50K',' >50K'}

@data
'\'(35.5-60.5]\'',' Private',' pre-HS',' Never-married',' Black',' Female',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
'\'(23.5-28.5]\'',' Private',' College',' Never-married',' Amer-Asian-Eskimo',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
'\'(28.5-35.5]\'',' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' Government',' Higher Education',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' Black',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' ?',' >50K'
'\'(28.5-35.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
'\'(23.5-28.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' Government',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
'\'(28.5-35.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(23.5-28.5]\'',' Private',' College',' Never-married',' Asian-Pac-Islander',' Female',' Asia',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' No Income',' Higher Education',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Government',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(-inf-23.5]\'',' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(23.5-28.5]\'',' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
'\'(23.5-28.5]\'',' Government',' College',' Never-married',' Black',' Female',' Latin / South America',' <=50K'
'\'(28.5-35.5]\'',' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
'\'(35.5-60.5]\'',' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
'\'(35.5-60.5]\'',' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
