Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureMaxDepth
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.320827058573155,0.0,8.320827058573155,0.9245363398414617,0.0,0.9245363398414617,8.320827058573155,0.9245363398414617,100.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.08820706842322,0.0,9.08820706842322,1.0098007853803577,0.0,1.0098007853803577,9.08820706842322,1.0098007853803577,100.0,1.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.001,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.07083333333333333,0.2125,14.601955307262568,42.23975228873181,9.08820706842322,1.46394709975979,7.62425996866343,1.0098007853803577,0.1626607888621989,0.8471399965181589,7.629936125852529,0.847770680650281,83.95425047436011,0.75,3.0,0.0,0.0,1.0,5.0,0.25,1.0,1.0,0.75,0.8571428571428571,0.7905694150420948,1.0,1.0,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,1.0,1.0,0.8831168831168831,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,55.55555555555556,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.08820706842322,0.0,9.08820706842322,1.0098007853803577,0.0,1.0098007853803577,9.08820706842322,1.0098007853803577,100.0,1.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.0,9669.0,3066.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.3 -M 2',-217733168393644444,2.01902091512E7,81.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.635527928909312,0.0,7.635527928909312,0.954440991113664,0.0,0.954440991113664,7.635527928909312,0.954440991113664,100.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.0,9762.0,2973.0,100.0,50.0,'Number of leaves: 6\nSize of the tree: 7\n',7.0,6.0,6.0,?
