@relation RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Age {0,1,2,3,4}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute IsAlone {0,1}

@data
0,2,1,1,1,0,1,1
0,1,1,2,3,1,2,0
0,3,0,2,1,0,1,1
0,3,1,1,0,0,1,1
0,2,1,2,2,0,1,1
1,3,1,1,0,0,1,1
1,1,0,3,3,1,2,0
1,2,0,1,2,0,6,0
0,2,1,1,1,0,1,1
1,2,0,2,2,0,2,0
1,3,0,1,0,0,1,1
0,2,0,1,1,0,1,1
0,1,1,1,3,1,1,1
0,3,1,1,2,0,2,0
1,3,0,1,1,0,1,1
0,3,0,2,1,0,2,0
0,3,1,2,1,0,1,1
0,3,1,1,1,0,1,1
1,1,0,1,3,1,5,0
1,2,1,1,1,0,1,1
0,1,1,3,3,1,2,0
1,1,0,2,3,1,4,0
1,2,0,2,1,0,1,1
1,2,0,1,1,0,2,0
0,2,1,1,1,0,1,1
0,3,1,1,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,1,1,0,1,1
0,1,1,1,0,0,1,1
1,1,0,2,3,1,2,0
1,1,0,1,3,1,1,1
0,3,1,2,1,0,1,1
0,2,1,1,0,0,1,1
1,3,1,1,0,0,1,1
0,1,1,2,2,1,1,1
1,3,0,0,1,0,2,0
0,2,1,3,3,0,3,0
0,3,1,2,2,0,2,0
0,3,1,2,0,0,1,1
0,3,1,1,3,0,1,1
0,3,1,1,2,0,1,1
0,3,1,1,0,0,2,0
1,1,0,0,3,1,4,0
0,2,1,1,0,0,1,1
1,1,1,3,3,1,2,0
0,3,1,0,2,0,6,0
1,3,0,1,0,0,1,1
1,1,1,2,3,1,2,0
0,3,1,1,0,0,1,1
0,3,1,0,3,0,6,0
1,1,0,1,3,1,2,0
0,3,1,1,2,0,3,0
0,1,1,1,3,1,2,0
1,1,0,2,3,1,2,0
0,1,1,2,0,1,1,1
1,3,0,1,2,1,3,0
1,3,1,2,1,0,1,1
0,2,1,3,1,0,1,1
1,3,1,1,1,0,1,1
0,1,1,3,3,1,1,1
0,3,1,1,1,0,1,1
0,3,1,1,1,0,1,1
1,1,1,3,3,0,3,0
0,3,1,2,0,0,1,1
0,2,1,0,1,0,1,1
1,2,0,3,1,0,1,1
0,3,1,1,0,0,1,1
1,2,0,1,1,0,1,1
1,3,1,1,1,0,1,1
0,3,1,2,1,0,1,1
1,3,0,0,2,0,4,0
1,1,0,0,3,1,2,0
1,3,1,1,0,0,1,1
0,2,1,1,2,0,2,0
0,3,0,1,0,0,1,1
1,3,0,2,0,0,1,1
0,3,1,1,0,0,1,1
1,2,0,1,1,0,1,1
1,3,1,2,3,0,1,1
0,2,0,1,2,0,2,0
0,3,1,0,2,0,1,1
1,1,0,2,3,1,2,0
1,3,0,0,1,0,1,1
0,2,1,1,1,0,1,1
0,2,1,3,1,0,1,1
0,3,1,2,0,0,1,1
0,1,1,2,3,1,2,0
0,3,1,1,1,0,1,1
1,3,0,1,2,0,3,0
1,3,1,0,2,0,3,0
0,3,1,1,0,0,1,1
0,3,1,1,2,0,2,0
0,3,1,1,0,0,1,1
1,2,0,1,2,0,1,1
0,1,1,1,3,1,1,1
0,3,1,1,0,0,1,1
0,3,0,1,1,0,2,0
1,3,1,1,2,0,3,0
1,3,1,1,0,0,1,1
1,2,0,0,2,0,2,0
1,1,0,2,2,1,1,1
0,3,0,2,3,0,6,0
1,1,1,2,3,1,2,0
1,3,0,0,0,0,1,1
0,3,0,0,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,0,3,0,5,0
1,3,0,2,0,0,1,1
1,3,0,2,2,1,3,0
0,3,1,1,0,0,1,1
1,3,0,1,0,0,1,1
0,3,1,0,3,0,6,0
0,3,1,1,1,0,1,1
0,3,1,1,0,0,1,1
0,3,1,1,1,0,1,1
0,1,1,1,3,1,3,0
1,3,0,1,0,0,1,1
0,3,1,2,2,0,3,0
1,1,0,1,2,1,3,0
1,3,1,0,2,0,3,0
0,3,1,1,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,2,0,0,1,1
0,3,1,1,2,0,2,0
0,3,1,2,0,0,1,1
0,3,1,1,0,0,1,1
1,2,0,2,2,0,2,0
0,3,0,1,1,0,3,0
1,1,0,1,3,1,2,0
1,3,1,0,1,0,2,0
0,3,1,0,2,0,1,1
1,3,0,1,2,0,3,0
1,1,1,2,3,1,2,0
0,3,1,2,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,1,0,0,2,0
1,2,1,3,1,0,1,1
1,2,0,3,1,0,1,1
1,1,0,2,3,0,3,0
0,3,0,1,1,0,2,0
0,1,1,2,3,1,1,1
1,3,0,0,0,0,1,1
1,3,0,1,0,0,2,0
1,1,0,2,3,1,1,1
0,1,1,3,3,1,1,1
1,3,0,1,0,0,1,1
0,1,1,3,2,1,1,1
1,3,1,0,1,1,2,0
0,3,1,1,0,0,1,1
1,1,0,2,3,1,2,0
0,2,1,2,2,1,3,0
1,3,1,0,1,0,2,0
1,1,1,1,3,1,2,0
0,3,1,2,0,0,1,1
0,3,1,0,1,0,1,1
0,2,1,2,1,0,1,1
0,1,1,3,3,1,2,0
1,3,0,1,1,0,1,1
0,1,1,2,3,0,2,0
0,3,1,2,1,0,1,1
0,3,0,1,0,0,1,1
1,3,0,1,1,0,2,0
0,3,1,0,0,0,3,0
0,2,1,1,1,0,1,1
0,3,0,1,2,0,3,0
0,3,1,1,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,2,2,0,1,1
0,3,1,1,0,0,2,0
1,1,0,3,3,1,2,0
0,3,1,2,0,0,1,1
0,3,1,1,0,0,1,1
0,3,1,3,0,0,1,1
1,3,0,1,2,0,3,0
0,1,1,2,2,1,1,1
1,1,0,1,3,1,1,1
0,3,1,1,1,0,1,1
0,1,1,3,3,1,6,0
1,2,0,2,2,0,2,0
0,2,1,2,2,0,2,0
1,2,0,1,2,0,3,0
0,3,1,2,0,0,1,1
1,1,0,1,3,1,1,1
0,3,1,2,2,0,5,0
0,3,1,1,2,0,1,1
0,3,1,1,1,0,1,1
0,3,1,2,2,0,1,1
0,2,1,3,1,0,1,1
1,3,0,0,0,0,1,1
0,2,1,1,1,0,1,1
0,3,1,0,1,0,1,1
0,3,1,2,0,0,1,1
1,3,1,2,1,0,1,1
0,3,1,1,0,0,2,0
0,2,1,2,0,0,1,1
0,3,1,2,0,0,1,1
1,1,1,2,3,1,2,0
1,1,0,1,3,1,1,1
0,3,1,2,0,0,1,1
0,3,1,2,1,0,1,1
1,1,0,2,3,0,1,1
1,3,1,1,1,0,1,1
0,3,1,1,0,0,1,1
1,3,1,1,0,0,1,1
0,2,1,2,1,0,1,1
0,3,1,1,0,0,1,1
1,2,0,1,1,1,1,1
0,3,0,2,0,0,1,1
1,1,0,1,3,1,6,0
1,1,1,3,2,1,1,1
0,3,1,0,3,0,8,0
0,3,0,2,2,0,2,0
0,3,0,1,3,0,11,0
0,3,1,1,1,0,1,1
1,1,0,2,3,1,2,0
0,3,1,1,2,0,2,0
1,3,0,1,2,0,2,0
1,3,1,1,1,0,2,0
1,1,0,2,3,1,1,1
1,2,0,2,2,0,3,0
1,2,0,0,2,0,3,0
0,3,1,2,0,0,1,1
1,1,0,0,3,1,2,0
0,2,1,1,3,0,3,0
0,3,1,1,0,0,1,1
1,2,0,3,2,0,2,0
1,3,1,1,0,0,1,1
0,3,1,2,0,0,1,1
0,3,1,2,0,0,1,1
1,3,1,1,0,0,2,0
1,2,0,1,2,0,2,0
0,2,1,1,1,0,1,1
1,2,0,2,3,0,3,0
0,3,1,0,3,0,8,0
1,3,1,1,2,0,1,1
0,2,1,0,2,0,1,1
0,2,1,1,3,0,1,1
1,1,0,1,3,1,1,1
0,2,1,1,1,0,2,0
0,2,1,1,1,0,1,1
1,2,0,2,2,0,3,0
0,3,1,1,2,0,1,1
0,3,1,1,0,0,2,0
1,1,0,1,3,1,6,0
0,3,1,1,1,0,1,1
1,3,0,2,2,0,2,0
0,3,1,1,0,0,1,1
1,1,1,1,2,1,1,1
0,2,1,1,1,0,1,1
